Embedding Technique,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Word2Vec Skip-gram,0.8642105263157894,0.864352134912927,0.8642105263157894,0.8636966016339381,583.6837915999931
Word2Vec CBOW,0.2501315789473684,0.31250822476641665,0.2501315789473684,0.10027354688737966,200.7506638999912
TF-IDF,0.25,0.0625,0.25,0.1,250.9570275999722
