,precision,recall,f1-score,support
World,0.906501880709296,0.8878947368421053,0.8971018346184525,1900.0
Sports,0.946319018404908,0.9742105263157895,0.9600622406639004,1900.0
Business,0.856687898089172,0.8494736842105263,0.8530655391120507,1900.0
Sci/Tech,0.8641390205371248,0.8636842105263158,0.8639115556725454,1900.0
accuracy,0.8938157894736842,0.8938157894736842,0.8938157894736842,0.8938157894736842
macro avg,0.8934119544351251,0.8938157894736842,0.8935352925167372,7600.0
weighted avg,0.8934119544351252,0.8938157894736842,0.8935352925167372,7600.0
