,precision,recall,f1-score,support
World,0.9050429184549357,0.8878947368421053,0.8963868225292242,1900.0
Sports,0.9519131334022751,0.9689473684210527,0.9603547209181011,1900.0
Business,0.8483263598326359,0.8536842105263158,0.85099685204617,1900.0
Sci/Tech,0.8661375661375661,0.861578947368421,0.8638522427440634,1900.0
accuracy,0.8930263157894737,0.8930263157894737,0.8930263157894737,0.8930263157894737
macro avg,0.8928549944568531,0.8930263157894738,0.8928976595593896,7600.0
weighted avg,0.8928549944568531,0.8930263157894737,0.8928976595593897,7600.0
