,precision,recall,f1-score,support
World,0.9440217391304347,0.9142105263157895,0.9288770053475935,1900.0
Sports,0.9673575129533679,0.9826315789473684,0.974934725848564,1900.0
Business,0.8953550453817405,0.8826315789473684,0.8889477869069706,1900.0
Sci/Tech,0.883495145631068,0.91,0.896551724137931,1900.0
accuracy,0.9223684210526316,0.9223684210526316,0.9223684210526316,0.9223684210526316
macro avg,0.9225573607741528,0.9223684210526316,0.9223278105602648,7600.0
weighted avg,0.9225573607741527,0.9223684210526316,0.9223278105602647,7600.0
