,precision,recall,f1-score,support
World,0.8926673751328374,0.8842105263157894,0.88841882601798,1900.0
Sports,0.9404761904761905,0.9563157894736842,0.9483298538622129,1900.0
Business,0.8384697130712009,0.8305263157894737,0.8344791115811739,1900.0
Sci/Tech,0.8429621848739496,0.8447368421052631,0.8438485804416404,1900.0
accuracy,0.8789473684210526,0.8789473684210526,0.8789473684210526,0.8789473684210526
macro avg,0.8786438658885446,0.8789473684210526,0.8787690929757518,7600.0
weighted avg,0.8786438658885446,0.8789473684210526,0.8787690929757518,7600.0
