Embedding Technique,Accuracy,F1-Score,Trainable Embeddings
Word2Vec Skip-gram,0.9261842105263158,0.9262372491235431,No
Word2Vec CBOW,0.9223684210526316,0.9223278105602647,No
TF-IDF,0.911578947368421,0.9114005654266684,Yes
