,precision,recall,f1-score,support
World,0.95092693565976,0.9178947368421052,0.9341189073379753,1900.0
Sports,0.9729025534132361,0.9826315789473684,0.9777428646242472,1900.0
Business,0.891395592864638,0.8942105263157895,0.8928008407777194,1900.0
Sci/Tech,0.8907779495105616,0.91,0.9002863837542306,1900.0
accuracy,0.9261842105263158,0.9261842105263158,0.9261842105263158,0.9261842105263158
macro avg,0.926500757862049,0.9261842105263158,0.9262372491235431,7600.0
weighted avg,0.926500757862049,0.9261842105263158,0.9262372491235431,7600.0
