,precision,recall,f1-score,support
World,0.9255663430420712,0.9031578947368422,0.9142248268513585,1900.0
Sports,0.9536798764796706,0.9752631578947368,0.9643507676294562,1900.0
Business,0.8863758750673129,0.8663157894736843,0.8762310354005856,1900.0
Sci/Tech,0.8802672147995889,0.901578947368421,0.890795631825273,1900.0
accuracy,0.911578947368421,0.911578947368421,0.911578947368421,0.911578947368421
macro avg,0.911472327347161,0.911578947368421,0.9114005654266684,7600.0
weighted avg,0.911472327347161,0.911578947368421,0.9114005654266684,7600.0
